Case ID,Activity,Timestamp,Resource,Verzekeringstype,Kanaal,Risiconiveau,Afwijzingsreden
INS-2025-0123,Aanvraag ontvangen,2025-02-03 00:29:19,SYSTEEM,Levensverzekering,Telefoon,,
INS-2025-0122,Aanvraag ontvangen,2025-02-03 01:55:28,SYSTEEM,Opstalverzekering,Online portal,,
INS-2025-0123,Aanvraag geregistreerd,2025-02-03 01:58:07,Bas de W.,Levensverzekering,Telefoon,,
INS-2025-0047,Aanvraag ontvangen,2025-02-03 02:16:27,SYSTEEM,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0154,Aanvraag ontvangen,2025-02-03 02:18:34,SYSTEEM,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0047,Aanvraag geregistreerd,2025-02-03 02:24:21,Yousra B.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0122,Aanvraag geregistreerd,2025-02-03 02:30:47,Fatima K.,Opstalverzekering,Online portal,,
INS-2025-0154,Aanvraag geregistreerd,2025-02-03 02:56:41,Roel V.,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0243,Aanvraag ontvangen,2025-02-03 04:26:24,SYSTEEM,Zorgverzekering,Telefoon,,
INS-2025-0123,Intake voltooid,2025-02-03 04:40:47,Fatima K.,Levensverzekering,Telefoon,,
INS-2025-0287,Aanvraag ontvangen,2025-02-03 04:45:01,SYSTEEM,Opstalverzekering,Online portal,,
INS-2025-0047,Intake voltooid,2025-02-03 05:20:59,Roel V.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0154,Intake voltooid,2025-02-03 05:27:18,Fatima K.,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0183,Aanvraag ontvangen,2025-02-03 05:39:15,SYSTEEM,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0243,Aanvraag geregistreerd,2025-02-03 05:40:31,Fatima K.,Zorgverzekering,Telefoon,,
INS-2025-0122,Intake voltooid,2025-02-03 05:48:31,Bas de W.,Opstalverzekering,Online portal,,
INS-2025-0287,Aanvraag geregistreerd,2025-02-03 05:56:09,Fatima K.,Opstalverzekering,Online portal,,
INS-2025-0154,Documentcontrole gestart,2025-02-03 06:18:14,Eline P.,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0123,Documentcontrole gestart,2025-02-03 06:23:32,Marieke S.,Levensverzekering,Telefoon,,
INS-2025-0122,Documentcontrole gestart,2025-02-03 06:27:16,Joost H.,Opstalverzekering,Online portal,,
INS-2025-0183,Aanvraag geregistreerd,2025-02-03 06:38:32,Yousra B.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0182,Aanvraag ontvangen,2025-02-03 06:42:07,SYSTEEM,Zorgverzekering,Online portal,,
INS-2025-0172,Aanvraag ontvangen,2025-02-03 06:55:13,SYSTEEM,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0244,Aanvraag ontvangen,2025-02-03 07:09:29,SYSTEEM,Reisverzekering,Telefoon,,
INS-2025-0172,Aanvraag geregistreerd,2025-02-03 07:09:38,Roel V.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0047,Documentcontrole gestart,2025-02-03 07:14:40,Eline P.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0182,Aanvraag geregistreerd,2025-02-03 07:16:16,Bas de W.,Zorgverzekering,Online portal,,
INS-2025-0190,Aanvraag ontvangen,2025-02-03 07:54:18,SYSTEEM,Opstalverzekering,Tussenpersoon,,
INS-2025-0244,Aanvraag geregistreerd,2025-02-03 08:03:27,Fatima K.,Reisverzekering,Telefoon,,
INS-2025-0277,Aanvraag ontvangen,2025-02-03 08:03:57,SYSTEEM,Autoverzekering,Tussenpersoon,,
INS-2025-0183,Intake voltooid,2025-02-03 08:12:07,Roel V.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0190,Aanvraag geregistreerd,2025-02-03 08:30:30,Fatima K.,Opstalverzekering,Tussenpersoon,,
INS-2025-0198,Aanvraag ontvangen,2025-02-03 08:49:09,SYSTEEM,Reisverzekering,Online portal,,
INS-2025-0182,Intake voltooid,2025-02-03 08:59:48,Roel V.,Zorgverzekering,Online portal,,
INS-2025-0183,Documentcontrole gestart,2025-02-03 09:08:51,Eline P.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0277,Aanvraag geregistreerd,2025-02-03 09:09:42,Yousra B.,Autoverzekering,Tussenpersoon,,
INS-2025-0244,Intake voltooid,2025-02-03 09:11:36,Fatima K.,Reisverzekering,Telefoon,,
INS-2025-0243,Aanvullende info opgevraagd,2025-02-03 09:13:07,Yousra B.,Zorgverzekering,Telefoon,,
INS-2025-0198,Aanvraag geregistreerd,2025-02-03 09:18:54,Yousra B.,Reisverzekering,Online portal,,
INS-2025-0279,Aanvraag ontvangen,2025-02-03 09:24:59,SYSTEEM,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0287,Intake voltooid,2025-02-03 09:31:28,Fatima K.,Opstalverzekering,Online portal,,
INS-2025-0279,Aanvraag geregistreerd,2025-02-03 09:39:41,Bas de W.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0190,Intake voltooid,2025-02-03 10:05:23,Fatima K.,Opstalverzekering,Tussenpersoon,,
INS-2025-0172,Intake voltooid,2025-02-03 10:20:27,Fatima K.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0026,Aanvraag ontvangen,2025-02-03 10:25:00,SYSTEEM,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0182,Documentcontrole gestart,2025-02-03 10:25:16,Joost H.,Zorgverzekering,Online portal,,
INS-2025-0194,Aanvraag ontvangen,2025-02-03 10:28:17,SYSTEEM,Zorgverzekering,Telefoon,,
INS-2025-0287,Documentcontrole gestart,2025-02-03 10:30:29,Eline P.,Opstalverzekering,Online portal,,
INS-2025-0026,Aanvraag geregistreerd,2025-02-03 10:37:27,Fatima K.,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0194,Aanvraag geregistreerd,2025-02-03 10:37:52,Yousra B.,Zorgverzekering,Telefoon,,
INS-2025-0047,Documentcontrole goedgekeurd,2025-02-03 10:42:29,Marieke S.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0275,Aanvraag ontvangen,2025-02-03 10:43:22,SYSTEEM,Autoverzekering,Online portal,,
INS-2025-0244,Documentcontrole gestart,2025-02-03 11:04:47,Marieke S.,Reisverzekering,Telefoon,,
INS-2025-0277,Aanvullende info opgevraagd,2025-02-03 11:10:24,Roel V.,Autoverzekering,Tussenpersoon,,
INS-2025-0275,Aanvraag geregistreerd,2025-02-03 11:13:51,Yousra B.,Autoverzekering,Online portal,,
INS-2025-0279,Aanvullende info opgevraagd,2025-02-03 11:17:54,Bas de W.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0198,Intake voltooid,2025-02-03 11:21:50,Roel V.,Reisverzekering,Online portal,,
INS-2025-0172,Documentcontrole gestart,2025-02-03 11:24:28,Marieke S.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0047,Risicoanalyse gestart,2025-02-03 11:42:16,Nora F.,Arbeidsongeschiktheid,Telefoon,,
INS-2025-0190,Documentcontrole gestart,2025-02-03 12:02:17,Eline P.,Opstalverzekering,Tussenpersoon,,
INS-2025-0123,Documentcontrole goedgekeurd,2025-02-03 12:32:14,Joost H.,Levensverzekering,Telefoon,,
INS-2025-0154,Document afgekeurd,2025-02-03 12:51:28,Marieke S.,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0197,Aanvraag ontvangen,2025-02-03 13:04:51,SYSTEEM,Reisverzekering,Tussenpersoon,,
INS-2025-0198,Documentcontrole gestart,2025-02-03 13:21:40,Marieke S.,Reisverzekering,Online portal,,
INS-2025-0026,Intake voltooid,2025-02-03 13:28:09,Bas de W.,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0197,Aanvraag geregistreerd,2025-02-03 13:39:54,Fatima K.,Reisverzekering,Tussenpersoon,,
INS-2025-0123,Risicoanalyse gestart,2025-02-03 13:47:29,Dirk M.,Levensverzekering,Telefoon,,
INS-2025-0172,Document afgekeurd,2025-02-03 14:04:05,Eline P.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0275,Intake voltooid,2025-02-03 14:16:02,Yousra B.,Autoverzekering,Online portal,,
INS-2025-0122,Documentcontrole goedgekeurd,2025-02-03 14:24:22,Marieke S.,Opstalverzekering,Online portal,,
INS-2025-0194,Intake voltooid,2025-02-03 14:31:10,Bas de W.,Zorgverzekering,Telefoon,,
INS-2025-0026,Documentcontrole gestart,2025-02-03 14:50:23,Eline P.,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0067,Aanvraag ontvangen,2025-02-03 15:01:29,SYSTEEM,Aansprakelijkheidsverzekering,Online portal,,
INS-2025-0073,Aanvraag ontvangen,2025-02-03 15:15:11,SYSTEEM,Autoverzekering,Telefoon,,
INS-2025-0154,Correctie opgevraagd bij klant,2025-02-03 15:20:01,Marieke S.,Aansprakelijkheidsverzekering,Telefoon,,
INS-2025-0073,Aanvraag geregistreerd,2025-02-03 15:24:32,Yousra B.,Autoverzekering,Telefoon,,
INS-2025-0194,Documentcontrole gestart,2025-02-03 15:26:05,Marieke S.,Zorgverzekering,Telefoon,,
INS-2025-0152,Aanvraag ontvangen,2025-02-03 15:37:03,SYSTEEM,Levensverzekering,Online portal,,
INS-2025-0067,Aanvraag geregistreerd,2025-02-03 15:39:26,Yousra B.,Aansprakelijkheidsverzekering,Online portal,,
INS-2025-0275,Documentcontrole gestart,2025-02-03 15:45:58,Marieke S.,Autoverzekering,Online portal,,
INS-2025-0122,Risicoanalyse gestart,2025-02-03 15:53:53,Saskia L.,Opstalverzekering,Online portal,,
INS-2025-0230,Aanvraag ontvangen,2025-02-03 15:54:24,SYSTEEM,Levensverzekering,Online portal,,
INS-2025-0152,Aanvraag geregistreerd,2025-02-03 16:10:31,Bas de W.,Levensverzekering,Online portal,,
INS-2025-0183,Documentcontrole goedgekeurd,2025-02-03 16:11:24,Joost H.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0230,Aanvraag geregistreerd,2025-02-03 16:22:08,Roel V.,Levensverzekering,Online portal,,
INS-2025-0043,Aanvraag ontvangen,2025-02-03 16:32:21,SYSTEEM,Arbeidsongeschiktheid,Online portal,,
INS-2025-0043,Aanvraag geregistreerd,2025-02-03 16:39:45,Yousra B.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0221,Aanvraag ontvangen,2025-02-03 16:43:17,SYSTEEM,Levensverzekering,Telefoon,,
INS-2025-0153,Aanvraag ontvangen,2025-02-03 16:44:40,SYSTEEM,Inboedelverzekering,Tussenpersoon,,
INS-2025-0172,Correctie opgevraagd bij klant,2025-02-03 16:56:14,Marieke S.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0287,Documentcontrole goedgekeurd,2025-02-03 17:21:22,Marieke S.,Opstalverzekering,Online portal,,
INS-2025-0182,Documentcontrole goedgekeurd,2025-02-03 17:23:32,Eline P.,Zorgverzekering,Online portal,,
INS-2025-0197,Intake voltooid,2025-02-03 17:30:53,Fatima K.,Reisverzekering,Tussenpersoon,,
INS-2025-0221,Aanvraag geregistreerd,2025-02-03 17:44:24,Fatima K.,Levensverzekering,Telefoon,,
INS-2025-0183,Risicoanalyse gestart,2025-02-03 17:50:45,Ahmed T.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0153,Aanvraag geregistreerd,2025-02-03 17:55:06,Roel V.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0275,Documentcontrole goedgekeurd,2025-02-03 18:00:32,Joost H.,Autoverzekering,Online portal,,
INS-2025-0067,Aanvullende info opgevraagd,2025-02-03 18:04:49,Fatima K.,Aansprakelijkheidsverzekering,Online portal,,
INS-2025-0190,Documentcontrole goedgekeurd,2025-02-03 18:06:39,Joost H.,Opstalverzekering,Tussenpersoon,,
