case_id,activity,timestamp,resource,duration_ms
KL-2024-001,Klacht ontvangen,2024-02-01 08:30:00,systeem,500
KL-2024-001,Klacht geregistreerd,2024-02-01 09:00:00,lisa.meijer,600000
KL-2024-001,Klacht gecategoriseerd,2024-02-01 09:45:00,lisa.meijer,300000
KL-2024-001,Klacht toegewezen,2024-02-01 10:00:00,lisa.meijer,120000
KL-2024-001,Onderzoek gestart,2024-02-01 11:00:00,sven.hoek,7200000
KL-2024-001,Klant gecontacteerd,2024-02-02 09:00:00,sven.hoek,1800000
KL-2024-001,Oplossing voorgesteld,2024-02-02 14:00:00,sven.hoek,3600000
KL-2024-001,Klant akkoord,2024-02-03 10:00:00,sven.hoek,600000
KL-2024-001,Klacht opgelost,2024-02-03 11:30:00,sven.hoek,900000
KL-2024-001,Klacht gesloten,2024-02-03 14:00:00,lisa.meijer,300000
KL-2024-002,Klacht ontvangen,2024-02-01 10:15:00,systeem,500
KL-2024-002,Klacht geregistreerd,2024-02-01 10:45:00,lisa.meijer,540000
KL-2024-002,Klacht gecategoriseerd,2024-02-01 11:30:00,lisa.meijer,360000
KL-2024-002,Klacht toegewezen,2024-02-01 12:00:00,lisa.meijer,120000
KL-2024-002,Onderzoek gestart,2024-02-01 13:00:00,nina.boer,14400000
KL-2024-002,Escalatie naar manager,2024-02-02 09:00:00,nina.boer,600000
KL-2024-002,Manager beoordeeld,2024-02-02 11:00:00,rob.smeets,7200000
KL-2024-002,Klant gecontacteerd,2024-02-03 09:00:00,rob.smeets,1800000
KL-2024-002,Compensatie aangeboden,2024-02-03 11:00:00,rob.smeets,1200000
KL-2024-002,Klant akkoord,2024-02-04 09:30:00,rob.smeets,600000
KL-2024-002,Klacht opgelost,2024-02-04 11:00:00,rob.smeets,900000
KL-2024-002,Klacht gesloten,2024-02-04 14:00:00,lisa.meijer,300000
KL-2024-003,Klacht ontvangen,2024-02-02 14:00:00,systeem,500
KL-2024-003,Klacht geregistreerd,2024-02-02 14:30:00,lisa.meijer,480000
KL-2024-003,Klacht gecategoriseerd,2024-02-02 15:00:00,lisa.meijer,270000
KL-2024-003,Klacht toegewezen,2024-02-02 15:20:00,lisa.meijer,120000
KL-2024-003,Onderzoek gestart,2024-02-02 16:00:00,sven.hoek,5400000
KL-2024-003,Oplossing voorgesteld,2024-02-03 08:30:00,sven.hoek,2700000
KL-2024-003,Klant akkoord,2024-02-03 14:00:00,sven.hoek,600000
KL-2024-003,Klacht opgelost,2024-02-03 15:00:00,sven.hoek,900000
KL-2024-003,Klacht gesloten,2024-02-04 09:00:00,lisa.meijer,300000
KL-2024-004,Klacht ontvangen,2024-02-05 09:00:00,systeem,500
KL-2024-004,Klacht geregistreerd,2024-02-05 09:30:00,lisa.meijer,600000
KL-2024-004,Klacht gecategoriseerd,2024-02-05 10:00:00,lisa.meijer,300000
KL-2024-004,Klacht toegewezen,2024-02-05 10:15:00,lisa.meijer,120000
KL-2024-004,Onderzoek gestart,2024-02-05 11:00:00,nina.boer,10800000
KL-2024-004,Klant gecontacteerd,2024-02-06 10:00:00,nina.boer,2400000
KL-2024-004,Klant niet bereikbaar,2024-02-06 13:00:00,nina.boer,600000
KL-2024-004,Klant gecontacteerd,2024-02-07 09:00:00,nina.boer,1800000
KL-2024-004,Oplossing voorgesteld,2024-02-07 12:00:00,nina.boer,3600000
KL-2024-004,Klant niet akkoord,2024-02-08 09:00:00,nina.boer,600000
KL-2024-004,Escalatie naar manager,2024-02-08 10:00:00,nina.boer,600000
KL-2024-004,Manager beoordeeld,2024-02-08 14:00:00,rob.smeets,3600000
KL-2024-004,Compensatie aangeboden,2024-02-09 09:00:00,rob.smeets,1800000
KL-2024-004,Klant akkoord,2024-02-09 14:00:00,rob.smeets,600000
KL-2024-004,Klacht opgelost,2024-02-09 15:30:00,rob.smeets,900000
KL-2024-004,Klacht gesloten,2024-02-10 09:00:00,lisa.meijer,300000
KL-2024-005,Klacht ontvangen,2024-02-06 11:00:00,systeem,500
KL-2024-005,Klacht geregistreerd,2024-02-06 11:30:00,lisa.meijer,450000
KL-2024-005,Klacht gecategoriseerd,2024-02-06 12:00:00,lisa.meijer,240000
KL-2024-005,Klacht toegewezen,2024-02-06 12:15:00,lisa.meijer,120000
KL-2024-005,Onderzoek gestart,2024-02-06 13:00:00,sven.hoek,3600000
KL-2024-005,Oplossing voorgesteld,2024-02-06 14:30:00,sven.hoek,1800000
KL-2024-005,Klant akkoord,2024-02-07 09:00:00,sven.hoek,600000
KL-2024-005,Klacht opgelost,2024-02-07 10:00:00,sven.hoek,900000
KL-2024-005,Klacht gesloten,2024-02-07 11:00:00,lisa.meijer,300000
KL-2024-006,Klacht ontvangen,2024-02-07 14:30:00,systeem,500
KL-2024-006,Klacht geregistreerd,2024-02-07 15:00:00,lisa.meijer,510000
KL-2024-006,Klacht gecategoriseerd,2024-02-07 15:30:00,lisa.meijer,330000
KL-2024-006,Klacht toegewezen,2024-02-07 16:00:00,lisa.meijer,120000
KL-2024-006,Onderzoek gestart,2024-02-08 09:00:00,nina.boer,18000000
KL-2024-006,Klant gecontacteerd,2024-02-09 14:00:00,nina.boer,2400000
KL-2024-006,Oplossing voorgesteld,2024-02-10 09:00:00,nina.boer,5400000
KL-2024-006,Klant akkoord,2024-02-11 10:00:00,nina.boer,600000
KL-2024-006,Klacht opgelost,2024-02-11 11:00:00,nina.boer,900000
KL-2024-006,Klacht gesloten,2024-02-11 14:00:00,lisa.meijer,300000
